Scientific (Clements),TAGS,AVIBASE,CONS_STATUS
Ortygornis pondicerianus,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=B1C204EC88892CBE,Least concern
Ortygornis gularis,,,
Francolinus pintadeanus,,,
Francolinus francolinus,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=50658B225BD16740,Least concern
Francolinus pictus,,,
Campocolinus coqui,,,
Campocolinus albogularis,,,
Campocolinus schlegelii,,,
Scleroptila streptophora,,,
Scleroptila levaillantii,,,
Scleroptila finschi,,,
Scleroptila psilolaema,,,
Scleroptila elgonensis,,,
Scleroptila afra,,,
Scleroptila gutturalis,,,
Scleroptila shelleyi,,,
Scleroptila whytei,,,
Tetraogallus tibetanus,,,
Tetraogallus altaicus,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=D9A6E25C5C83C6F9,Least concern
Tetraogallus caucasicus,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=1596C37C32DED526,Least concern
Tetraogallus caspius,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=039BF484C6E832D0,Least concern
Tetraogallus himalayensis,,,
Ammoperdix griseogularis,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=439AFD40508D453F,Least concern
Ammoperdix heyi,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=CD83E49E5C1FB3F8,Least concern
Synoicus ypsilophorus,,,
Synoicus monorthonyx,,,
Synoicus chinensis,,,
Synoicus adansonii,,,
Margaroperdix madagarensis,,,
Coturnix coturnix,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=CAFE345DCABD8BF8,Least concern
Coturnix japonica,,,
Coturnix delegorguei,,,
Coturnix coromandelica,,,
Coturnix pectoralis,,,
Coturnix novaezelandiae,,,
Alectoris barbara,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=D44B2846BB2436A7,Least concern
Alectoris melanocephala,,,
Alectoris rufa,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=F71E0BE60C5B3C98,Near-threatened
