English (Clements),Scientific (Clements),English (AviList),Scientific (AviList),TAXON_CONCEPT_ID,taxon_order,category,species_code,bio_concept_code,primary_com_name,sci_name,order1,family,species_group,sparse_report_as,report_as,four_letter_code,extinct,extinct_year,Afrikaans,Albanian,Arabic,Armenian,Assamese,Asturleonese,Azerbaijani,Bangla (Bangladesh),Bengali (India),Bengali,Bulgarian,Catalan,Chinese - Mandarin (trad),"Chinese, Hong Kong","Chinese, Simple","Creole, Haiti",Croatian,Czech,Danish,Dutch,English (AviList)_translations,English,"English, Australia","English, Bangladesh","English, HBW","English, Hawaii","English, Hong Kong","English, IOC","English, India","English, Kenya","English, Malaysia","English, New Zealand","English, Philippines","English, South Africa","English, UAE","English, United Kingdom","English, United States",Estonian,Euskera,Faroese,Finnish,French,"French, AOS","French, Canada","French, France","French, French Guiana","French, Guadeloupe","French, Haiti",Galician,Georgian,German,Greek,Gujarati,Hebrew,Hindi,Hungarian,Icelandic,Indonesian,Italian,Japanese,Kannada,Kashmiri (India),Kazakh,Konkani,Korean,Kyrgyz,Ladakhi,Latvian,Lithuanian,Malayalam,Manipuri,Marathi,Mizo,Mongolian,Māori,Nepali (India),Nepali (Nepal),Norwegian,Odia,Persian,Polish,"Portuguese, Angola","Portuguese, Azores","Portuguese, Brazil","Portuguese, Madeira","Portuguese, Portugal","Punjabi, India",Romanian,Russian,Serbian,Slovak,Slovenian,Spanish,"Spanish, Argentina","Spanish, Chile","Spanish, Costa Rica","Spanish, Cuba","Spanish, Dominican Republic","Spanish, Ecuador","Spanish, Honduras","Spanish, Mexico","Spanish, Panama","Spanish, Paraguay","Spanish, Peru","Spanish, Puerto Rico","Spanish, Spain","Spanish, Uruguay","Spanish, Venezuela",Swedish,"Tamil, India",Telugu,Thai,Turkish,Ukrainian,Zulu,pri_com_name_indxd,authority_code,authority_ver
White-backed Woodpecker,Dendrocopos leucotos,White-backed Woodpecker,Dendrocopos leucotos,avibase-4507ACD7,11219,species,whbwoo1,avibase-4507ACD7,White-backed Woodpecker,Dendrocopos leucotos,Piciformes,Picidae (Woodpeckers),Woodpeckers,,whbwoo1,,0,,Witrugspeg,Qukapiku larosh kurrizbardhë,,Սպիտակամեջք փայտփոր,,Picatueru de dorsu blancu,Ağbel ağacdələn,,,,Белогърб кълвач,picot garser dorsiblanc,大赤啄木,白背啄木鳥,白背啄木鸟,,planinski djetlić,strakapoud bělohřbetý,Hvidrygget Flagspætte,Witrugspecht,White-backed Woodpecker,White-backed Woodpecker,,,White-backed/Amami Woodpecker,,,White-backed Woodpecker,,,,,,,,,White-backed Woodpecker,valgeselg-kirjurähn,Okil gibelnabarra,,valkoselkätikka,Pic à dos blanc,,Pic à dos blanc,,,,,Picapau de dorso branco,თეთრზურგა კოდალა,Weißrückenspecht,Λευκονώτης Δρυοκολάπτης,,נקר לבן-גב,,Fehérhátú fakopáncs,Drumbspæta,,Picchio dorsobianco,オオアカゲラ,,,Ақжон тоқылдақ,,큰오색딱다구리,,,Baltmugurdzenis,Baltanugaris margasis genys,,,,,Хондлой цагаан тоншуул,,,,hvitryggspett,,,dzięcioł białogrzbiety,,,,,Pica-pau-de-dorso-branco,,Ciocănitoare cu spate alb,Белоспинный дятел,Planinski detlić,ďateľ bielochrbtý,Belohrbti detel,Pico Dorsiblanco,,,,,,,,,,,,,Pico dorsiblanco,,,vitryggig hackspett,,,,Ak Sırtlı Ağaçkakan,Дятел білоспинний,,"Woodpecker, White-backed",EBIRD,2024
Darjeeling Woodpecker,Dendrocopos darjellensis,Darjeeling Woodpecker,Dendrocopos darjellensis,avibase-16E5AF15,11233,species,darwoo1,avibase-16E5AF15,Darjeeling Woodpecker,Dendrocopos darjellensis,Piciformes,Picidae (Woodpeckers),Woodpeckers,,darwoo1,,0,,Vlekpensspeg,,,,,,,,,দার্জিলিং কাঠঠোকরা,Жълтогръд кълвач,picot garser de Darjeeling,,,黄颈啄木鸟,,šareni djetlić,strakapoud žlutokrký,,Darjeelingspecht,Darjeeling Woodpecker,Darjeeling Woodpecker,,,Darjeeling Woodpecker,,,Darjeeling Woodpecker,,,,,,,,,Darjeeling Woodpecker,mägi-kirjurähn,,,vuorikirjotikka,Pic de Darjiling,,Pic de Darjiling,,,,,,,Darjeelingspecht,,,,,,,,,キバラアカゲラ,,,,,,,,,,,,,,,,दार्जीलिंग काष्ठकूट,दार्जीलिङ काष्ठकूट,mosespett,,,dzięcioł żółtouchy,,,,,,,,Сиккимский дятел,Žutoliki detlić,ďateľ pestrý,,Pico de Darjeeling,,,,,,,,,,,,,Pico de Darjeeling,,,darjeelingspett,,,,Darceling Ağaçkakanı,Дятел смугасточеревий,,"Woodpecker, Darjeeling",EBIRD,2024
Great Spotted Woodpecker,Dendrocopos major,Great Spotted Woodpecker,Dendrocopos major,avibase-D754DB85,11236,species,grswoo,avibase-D754DB85,Great Spotted Woodpecker,Dendrocopos major,Piciformes,Picidae (Woodpeckers),Woodpeckers,,grswoo,GSWO,0,,Grootbontspeg,Qukapiku larosh i madh,,Խայտաբղետ փայտփոր,,Picatueru común,İri ağacdələn,,,,Голям пъстър кълвач,picot garser gros,,大班啄木鳥,大斑啄木鸟,,veliki djetlić,strakapoud velký,Stor Flagspætte,Grote bonte specht,Great Spotted Woodpecker,Great Spotted Woodpecker,,,Great Spotted Woodpecker,,,Great Spotted Woodpecker,,,,,,,,,Great Spotted Woodpecker,suur-kirjurähn,Okil handia,Stór flekkuspæta,käpytikka,Pic épeiche,,Pic épeiche,,,,,Picapau grande,დიდი ჭრელი კოდალა,Buntspecht,Πευκοδρυοκολάπτης,,נקר עקוד,,Nagy fakopáncs,Barrspæta,,Picchio rosso maggiore,アカゲラ,,,Үлкен шұбар тоқылдақ,,오색딱다구리,Чоң чаар тоңкулдак,,Dižraibais dzenis,Didysis margasis genys,,,,,Алаг тоншуул,,,,flaggspett,,دارکوب خالدار بزرگ,dzięcioł duży,Great Spotted Woodpecker,,,,Pica-pau-malhado,,Ciocănitoare pestriță mare,Большой пёстрый дятел,Veliki detlić,ďateľ veľký,Veliki detel,Pico Picapinos,,,,,,,,,,,,,Pico picapinos,,,större hackspett,,,,Orman Alaca Ağaçkakanı,Дятел звичайний,,"Woodpecker, Great Spotted",EBIRD,2024
White-winged Woodpecker,Dendrocopos leucopterus,White-winged Woodpecker,Dendrocopos leucopterus,avibase-E8AFCFD1,11255,species,whwwoo1,avibase-E8AFCFD1,White-winged Woodpecker,Dendrocopos leucopterus,Piciformes,Picidae (Woodpeckers),Woodpeckers,,whwwoo1,,0,,Witvlerkspeg,,,,,,,,,,Белокрил кълвач,picot garser alablanc,,,白翅啄木鸟,,bjelokrili djetlić,strakapoud bělokřídlý,,Witvleugelspecht,White-winged Woodpecker,White-winged Woodpecker,,,White-winged Woodpecker,,,White-winged Woodpecker,,,,,,,,,White-winged Woodpecker,valgetiib-kirjurähn,,,valkosiipitikka,Pic à ailes blanches,,Pic à ailes blanches,,,,,,,Weißflügelspecht,,,,,,,,,ハジロアカゲラ,,,Аққанат тоқылдақ,,,Ак канаттуу тонкулдак,,,,,,,,,,,,hvitvingespett,,دارکوب بال‌سفید,dzięcioł białoskrzydły,,,,,,,,Белокрылый дятел,Belokrili detlić,ďateľ bielokrídly,Beloperuti detel,Pico Aliblanco,,,,,,,,,,,,,Pico aliblanco,,,vitvingad hackspett,,,,Ak Kanatlı Ağaçkakan,Дятел білокрилий,,"Woodpecker, White-winged",EBIRD,2024
Himalayan Woodpecker,Dendrocopos himalayensis,Himalayan Woodpecker,Dendrocopos himalayensis,avibase-C6F400B4,11256,species,himwoo1,avibase-C6F400B4,Himalayan Woodpecker,Dendrocopos himalayensis,Piciformes,Picidae (Woodpeckers),Woodpeckers,,himwoo1,,0,,Himalajaspeg,,,,,,,,,,Хималайски кълвач,picot garser de l'Himàlaia,,,,,himalajski djetlić,strakapoud pradéšský,,Himalayaspecht,Himalayan Woodpecker,Himalayan Woodpecker,,,Himalayan Woodpecker,,,Himalayan Woodpecker,,,,,,,,,Himalayan Woodpecker,himaalaja kirjurähn,,,himalajankäpytikka,Pic de l'Himalaya,,Pic de l'Himalaya,,,,,,,Himalajaspecht,,,,हिमालयी कठफोड़वा,,,,,ヒマラヤアカゲラ,,کُلی مۄکُٹ,,,,,,,,,,,,,,,हिमाली काष्ठकूट,himalayaspett,,,dzięcioł himalajski,,,,,,,,Гималайский дятел,Himalajski detlić,ďateľ himalájsky,Himalajski detel,Pico del Himalaya,,,,,,,,,,,,,Pico del Himalaya,,,himalayaspett,,,,Himalaya Ağaçkakanı,Дятел гімалайський,,"Woodpecker, Himalayan",EBIRD,2024
Syrian Woodpecker,Dendrocopos syriacus,Syrian Woodpecker,Dendrocopos syriacus,avibase-3F54E5FD,11259,species,syrwoo1,avibase-3F54E5FD,Syrian Woodpecker,Dendrocopos syriacus,Piciformes,Picidae (Woodpeckers),Woodpeckers,,syrwoo1,,0,,Siriese Bontspeg,Qukapiku i zakonshëm larosh,نقار الخشب السوري,Սիրիական փայտփոր,,,Suriya ağacdələni,,,,Сирийски кълвач,picot garser siríac,,,,,sirijski djetlić,strakapoud jižní,Syrisk Flagspætte,Syrische bonte specht,Syrian Woodpecker,Syrian Woodpecker,,,Syrian Woodpecker,,,Syrian Woodpecker,,,,,,,,,Syrian Woodpecker,salu-kirjurähn,Okil siriarra,,syyriantikka,Pic syriaque,,Pic syriaque,,,,,,სირიული კოდალა,Blutspecht,Βαλκανικός Δρυοκολάπτης,,נקר סורי,,Balkáni fakopáncs,Balkanspæta,,,カオジロアカゲラ,,,Сирия тоқылдағы,,,,,Sīrijas dzenis,Sirinis margasis genys,,,,,,,,,syriaspett,,دارکوب باغی (سوری),dzięcioł białoszyi,,,,,Pica-pau-dos-balcãs,,Ciocănitoare de grădini,Сирийский дятел,Seoski detlić,ďateľ hnedkavý,Sirijski detel,Pico Sirio,,,,,,,,,,,,,Pico sirio,,,balkanspett,,,,Alaca Ağaçkakan,Дятел сирійський,,"Woodpecker, Syrian",EBIRD,2024
Sind Woodpecker,Dendrocopos assimilis,Sind Woodpecker,Dendrocopos assimilis,avibase-36520374,11262,species,sinwoo1,avibase-36520374,Sind Woodpecker,Dendrocopos assimilis,Piciformes,Picidae (Woodpeckers),Woodpeckers,,sinwoo1,,0,,Tamariskspeg,,,,,,,,,,Тамариксов кълвач,picot garser de Sind,,,,,sindski djetlić,strakapoud balúčistánský,,Tamariskspecht,Sind Woodpecker,Sind Woodpecker,,,Sind Woodpecker,,,Sind Woodpecker,,,,,,,,,Sind Woodpecker,tamariski-kirjurähn,,,pakistanintikka,Pic du Sind,,Pic du Sind,,,,,,,Tamariskenspecht,,,,,,,,,カタジロアカゲラ,,,,,,,,,,,,,,,,,,urduspett,,دارکوب بلوچی,dzięcioł pakistański,,,,,,ਸਿੰਧੀ ਕੱਠਫੋੜਾ,,Тамарисковый дятел,Pakistanski detlić,ďateľ tamariškový,,Pico del Sind,,,,,,,,,,,,,Pico del Sind,,,sindspett,,,,Sind Ağaçkakanı,Дятел тамариксовий,,"Woodpecker, Sind",EBIRD,2024
Lesser Spotted Woodpecker,Dryobates minor,Lesser Spotted Woodpecker,Dryobates minor,avibase-AB2F4BC0,11264,species,leswoo1,avibase-AB2F4BC0,Lesser Spotted Woodpecker,Dryobates minor,Piciformes,Picidae (Woodpeckers),Woodpeckers,,leswoo1,,0,,Kleinbontspeg,Qukapiku larosh i vogël,,Փոքր փայտփոր,,Piquetín común,Kiçik ağacdələn,,,,Малък пъстър кълвач,picot garser petit,,,小斑啄木鸟,,mali djetlić,strakapoud malý,Lille Flagspætte,Kleine bonte specht,Lesser Spotted Woodpecker,Lesser Spotted Woodpecker,,,Lesser Spotted Woodpecker,,,Lesser Spotted Woodpecker,,,,,,,,,Lesser Spotted Woodpecker,väike-kirjurähn,Okil txikia,,pikkutikka,Pic épeichette,,Pic épeichette,,,,,Picapau pequeno,მცირე ჭრელი კოდალა,Kleinspecht,Νανοδρυοκολάπτης,,נקר גמדי,,Kis fakopáncs,Stubbspæta,,Picchio rosso minore,コアカゲラ,,,Кіші шұбар тоқылдақ,,,,,Mazais dzenis,Mažasis margasis genys,,,,,Цоохор тоншуул,,,,dvergspett,,دارکوب خالدار کوچک,dzięciołek,,,,,Pica-pau-galego,,Ciocănitoare mică,Малый пёстрый дятел,Mali detlić,ďateľ malý,Mali detel,Pico Menor,,,,,,,,,,,,,Pico menor,,,mindre hackspett,,,,Küçük Ağaçkakan,Дятел малий,,"Woodpecker, Lesser Spotted",EBIRD,2024
Crimson-naped Woodpecker,Dryobates cathpharius,Crimson-naped Woodpecker,Dryobates cathpharius,avibase-5B8F3EA2,11276,species,crbwoo6,avibase-5B8F3EA2,Crimson-naped Woodpecker,Dryobates cathpharius,Piciformes,Picidae (Woodpeckers),Woodpeckers,,crbwoo6,,0,,Rooiborsspeg,,,,,,,,,লালবুক কাঠঠোকরা,Ръждивоврат кълвач,picot garser de clatell vermell,,,红枕啄木鸟,,crvenoprsi djetlić,strakapoud rudotýlý,,Roodborstspecht,Crimson-naped Woodpecker,Crimson-naped Woodpecker,,,Scarlet-breasted Woodpecker,,,Crimson-naped Woodpecker,Crimson-naped Woodpecker (Crimson-breasted Woodpecker),,,,,,,,Crimson-naped Woodpecker,punarind-kirjurähn,,,punarintatikka,Pic à plastron rouge,,Pic à plastron rouge,,,,,,,Scharlachbrustspecht,,,,,,,,,,,,,,,,,,,,,,,,,रातोछाती काष्ठकूट,रातोछाती काष्ठकूट,karminbrystspett,,,dzięcioł czerwonopierśny,,,,,,,,,Skerletni detlić,ďateľ červenoprsý,,Pico Pechirrojo Occidental,,,,,,,,,,,,,Pico pechirrojo occidental,,,rödnackad hackspett,,,,Büyük Al Enseli Ağaçkakan,,,"Woodpecker, Crimson-naped",EBIRD,2024
Necklaced Woodpecker,Dryobates pernyii,Necklaced Woodpecker,Dryobates pernyii,avibase-E5515964,11281,species,crbwoo7,avibase-E5515964,Necklaced Woodpecker,Dryobates pernyii,Piciformes,Picidae (Woodpeckers),Woodpeckers,,crbwoo7,,0,,Halsbandspeg,,,,,,,,,,Огърличест кълвач,picot garser de Perny,,,赤胸啄木鸟,,grimiznoprsi djetlić,strakapoud rudoprsý,,Halsbandspecht,Necklaced Woodpecker,Necklaced Woodpecker,,,Crimson-breasted Woodpecker,,,Necklaced Woodpecker,,,,,,,,,Necklaced Woodpecker,,,,,Pic de Perny,,Pic de Perny,,,,,,,Karmesinbrustspecht,,,,,,,,,,,,,,,,,,,,,,,,,,,rødsmykkespett,,,dzięcioł zbroczony,,,,,,,,,Grimizni detlić,ďateľ Pernyov,,Pico Pechirrojo Oriental,,,,,,,,,,,,,Pico pechirrojo oriental,,,halsbandsspett,,,นกหัวขวานอกแดง,Al Gerdanlı Ağaçkakan,,,"Woodpecker, Necklaced",EBIRD,2024
Downy Woodpecker,Dryobates pubescens,Downy Woodpecker,Dryobates pubescens,avibase-1B2A6386,11287,species,dowwoo,avibase-1B2A6386,Downy Woodpecker,Dryobates pubescens,Piciformes,Picidae (Woodpeckers),Woodpeckers,,dowwoo,DOWO,0,,Donsveerspeg,,,,,,,,,,Пухест кълвач,picot garser beccurt,,,,,bjelotrbi djetlić,strakapoud osikový,,Donsspecht,Downy Woodpecker,Downy Woodpecker,,,Downy Woodpecker,,,Downy Woodpecker,,,,,,,,,Downy Woodpecker,haava-kirjurähn,,,keijutikka,Pic mineur,,Pic mineur,,,,,,,Dunenspecht,,,,,,Stuttspæta,,,セジロコゲラ,,,,,,,,,,,,,,,,,,dunspett,,,dzięcioł kosmaty,,,,,,,,Пушистый дятел,Američki mali detlić,ďateľ ozdobný,,Pico Pubescente,,,,,,,,Carpintero Albinegro Menor,,,,,Pico pubescente,,,dunspett,,,,Yumuşak Tüylü Ağaçkakan,Дятел пухнастий,,"Woodpecker, Downy",EBIRD,2024
Nuttall's Woodpecker,Dryobates nuttallii,Nuttall's Woodpecker,Dryobates nuttallii,avibase-FA087E52,11297,species,nutwoo,avibase-FA087E52,Nuttall's Woodpecker,Dryobates nuttallii,Piciformes,Picidae (Woodpeckers),Woodpeckers,,nutwoo,NUWO,0,,Kaliforniese Speg,,,,,,,,,,Калифорнийски кълвач,picot garser de Nuttall,,,,,kalifornijski djetlić,strakapoud kalifornský,,Nuttallspecht,Nuttall's Woodpecker,Nuttall's Woodpecker,,,Nuttall's Woodpecker,,,Nuttall's Woodpecker,,,,,,,,,Nuttall's Woodpecker,kalifornia kirjurähn,,,kaliforniantikka,Pic de Nuttall,,Pic de Nuttall,,,,,,,Nuttallspecht,,,,,,Ennisspæta,,,シロハラシマアカゲラ,,,,,,,,,,,,,,,,,,kaliforniaspett,,,dzięcioł kalifornijski,,,,,,,,Калифорнийский дятел,Kalifornijski hrastov detlić,ďateľ Nuttallov,,Pico de Nuttall,,,,,,,,Carpintero Californiano,,,,,Pico de Nuttall,,,chaparralspett,,,,Nuttall Ağaçkakanı,Дятел каліфорнійський,,"Woodpecker, Nuttall's",EBIRD,2024
Ladder-backed Woodpecker,Dryobates scalaris,Ladder-backed Woodpecker,Dryobates scalaris,avibase-2CE418F2,11299,species,labwoo,avibase-2CE418F2,Ladder-backed Woodpecker,Dryobates scalaris,Piciformes,Picidae (Woodpeckers),Woodpeckers,,labwoo,LBWO,0,,Bandrugspeg,,,,,,,,,,Пустинен кълвач,picot garser arlequí,,,,,pjegavoprsi djetlić,strakapoud proužkohřbetý,,Ladderspecht,Ladder-backed Woodpecker,Ladder-backed Woodpecker,,,Ladder-backed Woodpecker,,,Ladder-backed Woodpecker,,,,,,,,,Ladder-backed Woodpecker,kõnnu-kirjurähn,,,meksikonkirjotikka,Pic arlequin,,Pic arlequin,,,,,,,Texasspecht,,,,,,Stigaspæta,,,シマアカゲラ,,,,,,,,,,,,,,,,,,leiderspett,,,dzięcioł pasiasty,,,,,,,,Арлекиновый дятел,Kaktusov detlić,ďateľ harlekýn,,Pico Mexicano,,,,,,,Carpintero Lomo Rayado,Carpintero Mexicano,,,,,Pico mexicano,,,bandryggig hackspett,,,,Meksika Alaca Ağaçkakanı,Дятел техаський,,"Woodpecker, Ladder-backed",EBIRD,2024
Red-cockaded Woodpecker,Leuconotopicus borealis,Red-cockaded Woodpecker,Leuconotopicus borealis,avibase-0BFCAE79,11313,species,recwoo,avibase-0BFCAE79,Red-cockaded Woodpecker,Dryobates borealis,Piciformes,Picidae (Woodpeckers),Woodpeckers,,recwoo,RCWO,0,,Witwangspeg,,,,,,,,,,Боров кълвач,picot garser de Florida,,,,,prugasti djetlić,strakapoud kokardový,,Kokardespecht,Red-cockaded Woodpecker,Red-cockaded Woodpecker,,,Red-cockaded Woodpecker,,,Red-cockaded Woodpecker,,,,,,,,,Red-cockaded Woodpecker,palu-kirjurähn,,,pihkatikka,Pic à face blanche,,Pic à face blanche,,,,,,,Kokardenspecht,,,,,,Rauðspæta,,,ホオジロシマアカゲラ,,,,,,,,,,,,,,,,,,kvaespett,,,dzięcioł skromny,,,,,,,,Кокардовый дятел,Floridski borov detlić,ďateľ borinový,,Pico de Florida,,,,,,,,,,,,,Pico de Florida,,,tallspett,,,,Ak Yanaklı Ağaçkakan,Дятел флоридський,,"Woodpecker, Red-cockaded",EBIRD,2024
Hairy Woodpecker,Leuconotopicus villosus,Hairy Woodpecker,Leuconotopicus villosus,avibase-9D06AF89,11314,species,haiwoo,avibase-9D06AF89,Hairy Woodpecker,Dryobates villosus,Piciformes,Picidae (Woodpeckers),Woodpeckers,,haiwoo,HAWO,0,,Haarspeg,,,,,,,,,,Космат кълвач,picot garser pilós,,,,,crnouhi djetlić,strakapoud americký,,Haarspecht,Hairy Woodpecker,Hairy Woodpecker,,,Hairy Woodpecker,,,Hairy Woodpecker,,,,,,,,,Hairy Woodpecker,männi-kirjurähn,,,amerikankäpytikka,Pic chevelu,,Pic chevelu,,,,,,,Haarspecht,,,,,,Strýspæta,,,セジロアカゲラ,,,,,,,,,,,,,,,,,,indianerspett,,,dzięcioł włochaty,,,,,,,,Волосатый дятел,Američki veliki detlić,ďateľ vlasatý,,Pico Velloso,,,Carpintero Serranero,,,,Carpintero Blanco y Negro,Carpintero Albinegro Mayor,Carpintero Serranero,,,Carpintero Velloso,Pico velloso,,,hårspett,,,,Sert Tüylü Ağaçkakan,Дятел волохатий,,"Woodpecker, Hairy",EBIRD,2024
White-headed Woodpecker,Leuconotopicus albolarvatus,White-headed Woodpecker,Leuconotopicus albolarvatus,avibase-6C74415D,11338,species,whhwoo,avibase-6C74415D,White-headed Woodpecker,Dryobates albolarvatus,Piciformes,Picidae (Woodpeckers),Woodpeckers,,whhwoo,WHWO,0,,Witkopspeg,,,,,,,,,,Белоглав кълвач,picot garser capblanc,,,,,bjeloglavi djetlić,strakapoud bělohlavý,,Witkopspecht,White-headed Woodpecker,White-headed Woodpecker,,,White-headed Woodpecker,,,White-headed Woodpecker,,,,,,,,,White-headed Woodpecker,valgepea-rähn,,,valkopäätikka,Pic à tête blanche,,Pic à tête blanche,,,,,,,Weißkopfspecht,,,,,,Höfðaspæta,,,シロガシラキツツキ,,,,,,,,,,,,,,,,,,hvithodespett,,,dzięcioł białogłowy,,,,,,,,Белоголовый дятел,Beloglavi detlić,ďateľ bielohlavý,,Pico Cabeciblanco,,,,,,,,,,,,,Pico cabeciblanco,,,vithuvad hackspett,,,,Ak Başlı Ağaçkakan,Дятел білоголовий,,"Woodpecker, White-headed",EBIRD,2024
Smoky-brown Woodpecker,Leuconotopicus fumigatus,Smoky-brown Woodpecker,Leuconotopicus fumigatus,avibase-5481FBB2,11342,species,smbwoo1,avibase-5481FBB2,Smoky-brown Woodpecker,Dryobates fumigatus,Piciformes,Picidae (Woodpeckers),Woodpeckers,,smbwoo1,SMBW,0,,Roetspeg,,,,,,,,,,Сажден кълвач,picot fumat,,,,,smeđa žuna,skrakapoud nahnědlý,,Roetspecht,Smoky-brown Woodpecker,Smoky-brown Woodpecker,,,Smoky-brown Woodpecker,,,Smoky-brown Woodpecker,,,,,,,,,Smoky-brown Woodpecker,pruun-värbrähn,,,savutikka,Pic enfumé,,Pic enfumé,,,,,,,Rußspecht,,,,,,,,,ハゲラ,,,,,,,,,,,,,,,,,,brunspett,,,dzięcioł jednobarwny,,,,,,,,Дымчатый дятел,Smeđi detlić,ďateľ jednofarebný,,Carpintero Ahumado,Carpintero Oliva Oscuro,,Carpintero Pardo,,,Carpintero Pardo,Carpintero Café,Carpintero Café,Carpintero Pardo,,Carpintero Pardo,,Carpintero ahumado,,Carpintero Ahumado,rökbrun hackspett,,,,Kül Rengi Ağaçkakan,Дзьоган бурий,,"Woodpecker, Smoky-brown",EBIRD,2024
Strickland's Woodpecker,Leuconotopicus stricklandi,Strickland's Woodpecker,Leuconotopicus stricklandi,avibase-97F0A2DF,11348,species,strwoo,avibase-97F0A2DF,Strickland's Woodpecker,Dryobates stricklandi,Piciformes,Picidae (Woodpeckers),Woodpeckers,,strwoo,STCW,0,,Bontrugspeg,,,,,,,,,,Мексикански кълвач,picot garser de Strickland,,,,,smeđokrili djetlić,strakapoud mexický,,Stricklandspecht,Strickland's Woodpecker,Strickland's Woodpecker,,,Strickland's Woodpecker,,,Strickland's Woodpecker,,,,,,,,,Strickland's Woodpecker,mehhiko kirjurähn,,,mäntytikka,Pic de Strickland,,Pic de Strickland,,,,,,,Stricklandspecht,,,,,,,,,チャバネアカゲラ,,,,,,,,,,,,,,,,,,mexicospett,,,dzięcioł brunatny,,,,,,,,Мексиканский дятел,Meksički detlić,ďateľ horský,,Pico de Strickland,,,,,,,,Carpintero Transvolcánico,,,,,Pico de Strickland,,,stricklandspett,,,,Strickland Ağaçkakanı,Дятел мексиканський,,"Woodpecker, Strickland's",EBIRD,2024
Arizona Woodpecker,Leuconotopicus arizonae,Arizona Woodpecker,Leuconotopicus arizonae,avibase-0DA5CC35,11349,species,ariwoo,avibase-0DA5CC35,Arizona Woodpecker,Dryobates arizonae,Piciformes,Picidae (Woodpeckers),Woodpeckers,,ariwoo,ARWO,0,,Bruinvlekspeg,,,,,,,,,,Аризонски кълвач,picot garser d'Arizona,,,,,meksički djetlić,strakapoud hnědokřídlý,,Arizonaspecht,Arizona Woodpecker,Arizona Woodpecker,,,Arizona Woodpecker,,,Arizona Woodpecker,,,,,,,,,Arizona Woodpecker,pruunselg-kirjurähn,,,sierramadrentikka,Pic d'Arizona,,Pic d'Arizona,,,,,,,Arizonaspecht,,,,,,Sunnuspæta,,,アリゾナアカゲラ,,,,,,,,,,,,,,,,,,sierramadrespett,,,dzięcioł arizoński,,,,,,,,Аризонский дятел,Arizonski detlić,ďateľ hnedý,,Pico de Arizona,,,,,,,,Carpintero de Arizona,,,,,Pico de Arizona,,,arizonaspett,,,,Arizona Ağaçkakanı,Дзьоган аризонський,,"Woodpecker, Arizona",EBIRD,2024
Red-rumped Woodpecker,Veniliornis kirkii,Red-rumped Woodpecker,Veniliornis kirkii,avibase-CB586CF6,11352,species,rerwoo1,avibase-CB586CF6,Red-rumped Woodpecker,Dryobates kirkii,Piciformes,Picidae (Woodpeckers),Woodpeckers,,rerwoo1,RRWO,0,,Rooikruisspeg,,,,,,,,,,Червенокръст кълвач,picot de carpó vermell,,,,,prugastotrba žuna,datel rudokostřečný,,Roodstuitspecht,Red-rumped Woodpecker,Red-rumped Woodpecker,,,Red-rumped Woodpecker,,,Red-rumped Woodpecker,,,,,,,,,Red-rumped Woodpecker,karmiinpära-värbrähn,,,tuliperätikka,Pic à croupion rouge,,Pic à croupion rouge,,,,,,,Blutbürzelspecht,,,,,,,,,コシアカハゲラ,,,,,,,,,,,,,,,,,,rødgumpspett,,,dzięcioł krasnorzytny,,,pica-pau-de-sobre-vermelho,,Pica-pau-de-sobre-vermelho,,,Огненоспинный дятел,Kolumbijski zeleni detlić,ďateľ Kirkov,,Carpintero Culirrojo,,,Carpintero Lomirrojo,,,Carpintero Lomirrojo,,,Carpintero Lomirrojo,,Carpintero de Lomo Rojo,,Carpintero culirrojo,,Carpintero Rabadilla Roja,rödgumpad hackspett,,,,Kırmızı Belli Ağaçkakan,Дзьоган червоногузий,,"Woodpecker, Red-rumped",EBIRD,2024
Golden-collared Woodpecker,Veniliornis cassini,Golden-collared Woodpecker,Veniliornis cassini,avibase-C17751ED,11358,species,gocwoo2,avibase-C17751ED,Golden-collared Woodpecker,Dryobates cassini,Piciformes,Picidae (Woodpeckers),Woodpeckers,,gocwoo2,,0,,Goudkraagspeg,,,,,,,,,,Златоврат кълвач,picot de Cassin,,,,,pjegavokrila žuna,datel zlatošíjný,,Goudkraagspecht,Golden-collared Woodpecker,Golden-collared Woodpecker,,,Golden-collared Woodpecker,,,Golden-collared Woodpecker,,,,,,,,,Golden-collared Woodpecker,guajaana värbrähn,,,kultakaulustikka,Pic de Cassin,,Pic de Cassin,,,,,,,Goldnackenspecht,,,,,,,,,キエリハゲラ,,,,,,,,,,,,,,,,,,guyanaspett,,,dzięcioł gujański,,,pica-pau-de-colar-dourado,,Pica-pau-de-colar-dourado,,,Желтошейный дятел,Gvajanski zeleni detlić,ďateľ zlatotylový,,Carpintero Cebrado,,,,,,,,,,,,,Carpintero cebrado,,Carpintero Cebra,guyanaspett,,,,Sarı Enseli Ağaçkakan,Дзьоган гаянський,,"Woodpecker, Golden-collared",EBIRD,2024
